year,hour,day,severity_kabco,lighting,alcohol,pedestrian,pedalcycle,county,city,street,lat,lon
2014,20,Sunday,C,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,Cerrillos,35.67762,-105.95388
2014,23,Saturday,C,Unknown or Not Reported,0,1,0,Santa Fe,Santa Fe,Airport Rd,35.6387,-106.02295
2014,7,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,4100 S Mdws,35.63699,-106.03557
2014,8,Wednesday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Columbia St,35.66842,-105.95602
2014,17,Wednesday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Hospiol Dr,35.66028,-105.94848
2014,22,Thursday,B,Dark-Lighted,1,0,1,Santa Fe,Santa Fe,St Francis Dr,35.67621,-105.9536
2014,14,Thursday,C,Daylight,0,1,0,Santa Fe,Santa Fe,5Th St,35.65934,-105.96956
2014,15,Saturday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Unknown,35.65591,-105.99055
2014,19,Friday,A,Dusk,0,0,1,Santa Fe,Espanola,Santa Cruz Rd,35.99776,-106.06411
2014,17,Monday,C,Dark-Lighted,0,1,0,Santa Fe,Santa Fe,Airport Rd,35.63637,-106.03996
2014,15,Tuesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.63892,-106.01735
2014,19,Sunday,A,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,Cerillos Rd,35.64958,-106.00102
2014,12,Monday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Saint Michaels Dr,35.66033,-105.9755
2014,11,Sunday,A,Daylight,1,1,0,Santa Fe,Santa Fe,St Francis,35.65212,-105.95655
2014,10,Tuesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,West Alameda,35.68869,-105.95399
2014,10,Sunday,C,Daylight,0,0,1,Santa Fe,Santa Fe,3251 Cerrillos Rd,35.6508,-105.99905
2014,16,Thursday,C,Daylight,0,1,0,Santa Fe,Santa Fe,522 West Cordova Rd,35.67357,-105.95187
2014,7,Monday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Nm 599,35.58796,-106.05362
2014,11,Thursday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Market St,35.6852,-105.94669
2014,15,Monday,B,Daylight,0,0,1,Santa Fe,Santa Fe,I 25,35.58695,-106.05744
2014,15,Saturday,C,Daylight,1,1,0,Santa Fe,Santa Fe,Agua Fria,35.68655,-105.94487
2014,15,Thursday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Galisteo,35.68569,-105.94146
2014,18,Sunday,B,Daylight,0,1,0,Rio Arriba,Espanola,1610 N Riverside Dr,36.01572,-106.06447
2014,18,Friday,B,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.65736,-105.98768
2014,14,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,4201 Rodeo Rd,35.63881,-106.00832
2014,17,Wednesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Illegible,35.68134,-105.95232
2014,15,Friday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Camino Lejo,35.66425,-105.93679
2014,19,Friday,C,Dark-Not Lighted,0,1,0,Santa Fe,Santa Fe,Sabino St,35.69524,-105.95075
2014,11,Wednesday,K,Daylight,0,1,0,Los Alamos,Los Alamos,Main St,35.8826,-106.30052
2014,18,Friday,B,Daylight,0,1,0,Santa Fe,Santa Fe,St Iviichaels Dr,35.65952,-105.9738
2014,21,Friday,B,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.63892,-106.01735
2014,15,Tuesday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.66628,-105.97064
2014,12,Thursday,B,Unknown or Not Reported,0,1,0,Santa Fe,Santa Fe,2Nd St,35.667,-105.9697
2014,14,Wednesday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Jaguar Dr,35.61974,-106.06046
2014,22,Sunday,K,Dark-Not Lighted,0,1,0,Santa Fe,Santa Fe,St Francis Dr,35.64218,-105.95639
2014,13,Friday,A,Daylight,0,0,1,Santa Fe,Santa Fe,Callejon,35.68175,-105.94977
2014,18,Monday,B,Unknown or Not Reported,1,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.65736,-105.98768
2014,10,Saturday,C,Unknown or Not Reported,0,1,0,Santa Fe,Santa Fe,Camino De Los Arroyos,35.64008,-106.01061
2014,11,Sunday,C,Unknown or Not Reported,0,0,1,Santa Fe,Santa Fe,Old Pecos Trl,35.64733,-105.93386
2014,19,Saturday,C,Unknown or Not Reported,0,0,1,Santa Fe,Santa Fe,Avenida Cristobal Colon,35.67816,-105.96854
2014,21,Friday,B,Daylight,0,1,0,Santa Fe,Santa Fe,711 St Michaels Dr,35.65938,-105.95998
